Date,Time,PAR_rcb,PAR_greenup
8/23/18,5:30:00 AM,9,
8/23/18,5:45:00 AM,12,
8/23/18,6:00:00 AM,10,
8/23/18,6:15:00 AM,10,
8/23/18,6:30:00 AM,9,
8/23/18,6:45:00 AM,12,
8/23/18,7:00:00 AM,27,
8/23/18,7:15:00 AM,47,
8/23/18,7:30:00 AM,93,
8/23/18,7:45:00 AM,129,
8/23/18,8:00:00 AM,179,
8/23/18,8:15:00 AM,226,
8/23/18,8:30:00 AM,336,
8/23/18,8:45:00 AM,407,
8/23/18,9:00:00 AM,618,
8/23/18,9:15:00 AM,769,
8/23/18,9:30:00 AM,867,
8/23/18,9:45:00 AM,962,
8/23/18,10:00:00 AM,1048,
8/23/18,10:15:00 AM,1133,
8/23/18,10:30:00 AM,1212,
8/23/18,10:45:00 AM,1287,
8/23/18,11:00:00 AM,1354,
8/23/18,11:15:00 AM,1419,
8/23/18,11:30:00 AM,1478,
8/23/18,11:45:00 AM,1531,
8/23/18,12:00:00 PM,1589,
8/23/18,12:15:00 PM,1669,
8/23/18,12:30:00 PM,1722,
8/23/18,12:45:00 PM,1753,
8/23/18,1:00:00 PM,1795,
8/23/18,1:15:00 PM,1829,
8/23/18,1:30:00 PM,1869,
8/23/18,1:45:00 PM,1774,
8/23/18,2:00:00 PM,1806,
8/23/18,2:15:00 PM,1809,
8/23/18,2:30:00 PM,1764,
8/23/18,2:45:00 PM,1869,
8/23/18,3:00:00 PM,1675,
8/23/18,3:15:00 PM,1715,
8/23/18,3:30:00 PM,1861,
8/23/18,3:45:00 PM,768,
8/23/18,4:00:00 PM,377,
8/23/18,4:15:00 PM,1420,
8/23/18,4:30:00 PM,723,
8/23/18,4:45:00 PM,243,
8/23/18,5:00:00 PM,220,
8/23/18,5:15:00 PM,1004,
8/23/18,5:30:00 PM,910,
8/23/18,5:45:00 PM,815,
8/23/18,6:00:00 PM,713,
8/23/18,6:15:00 PM,616,
8/23/18,6:30:00 PM,510,
8/23/18,6:45:00 PM,408,
8/23/18,7:00:00 PM,308,
8/23/18,7:15:00 PM,228,
8/23/18,7:30:00 PM,144,
8/23/18,7:45:00 PM,73,
8/23/18,8:00:00 PM,34,
8/23/18,8:15:00 PM,15,
8/23/18,8:30:00 PM,9,
8/23/18,8:45:00 PM,7,
8/23/18,9:00:00 PM,9,
8/23/18,9:15:00 PM,9,
8/23/18,9:30:00 PM,9,
8/23/18,9:45:00 PM,9,
8/23/18,10:00:00 PM,9,
8/23/18,10:15:00 PM,10,
8/23/18,10:30:00 PM,9,
8/23/18,10:45:00 PM,9,
8/23/18,11:00:00 PM,7,
8/23/18,11:15:00 PM,9,
8/23/18,11:30:00 PM,10,
