Transect,Date,Time,PAR,PAR_MIN,PAR_MAX,BATT,SITE,CHK
T-1,8/29/18,8:35:47 AM,336.71,329.49,340.67,5.16,1XS ,137
T-1,8/29/18,8:36:26 AM,139.7,136.9,144.37,5.16,101,54
T-1,8/29/18,8:36:57 AM,27.721,27.57,27.829,5.16,102,72
T-1,8/29/18,8:37:23 AM,6.4332,6.4014,6.5359,5.16,103,53
T-1,8/29/18,8:37:51 AM,1.6713,1.6398,1.6667,5.15,104,66
T-1,8/29/18,8:38:32 AM,0.40632,0.40126,0.41257,5.15,1XB ,243
T-1,8/29/18,9:02:08 AM,483.35,471.87,495.15,5.14,2XS ,130
T-1,8/29/18,9:02:39 AM,39.305,39.08,39.383,5.14,201,54
T-1,8/29/18,9:03:03 AM,8.6897,8.6015,8.7827,5.15,202,74
T-1,8/29/18,9:03:51 AM,503.39,502.94,530.57,5.15,2XS ,123
T-1,8/29/18,9:04:14 AM,191.82,191.27,195.08,5.15,201,56
T-1,8/29/18,9:04:33 AM,38.614,38.369,39.156,5.15,202,70
T-1,8/29/18,9:04:53 AM,8.6248,8.5903,8.7144,5.15,203,77
T-1,8/29/18,9:05:20 AM,1.9174,1.9105,1.9302,5.15,204,43
T-1,8/29/18,9:05:42 AM,0.46429,0.45501,0.47572,5.15,205,206
T-1,8/29/18,9:06:02 AM,0.093492,0.06856,0.10807,5.15,206,49
T-1,8/29/18,9:26:10 AM,507.13,501.88,513.49,5.08,4XS ,120
T-1,8/29/18,9:26:40 AM,206.33,204.98,208.85,5.08,401,51
T-1,8/29/18,9:27:00 AM,34.973,34.637,35.089,5.08,402,65
T-1,8/29/18,9:27:23 AM,6.9416,6.8342,7.0645,5.08,403,70
T-1,8/29/18,9:27:47 AM,1.2328,1.2149,1.2457,5.08,404,60
T-1,8/29/18,9:28:12 AM,0.2699,0.26495,0.27473,5.08,405,223
T-1,8/29/18,9:28:46 AM,0.27362,0.26111,0.28873,5.08,4XB ,14
T-1,8/29/18,10:06:27 AM,715.92,692.23,746.64,5.08,3XS ,130
T-1,8/29/18,10:06:54 AM,307.86,306.13,310.65,5.1,301,30
