Transect,Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,ODO % sat,ODO mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,Turbidity NTU,TSS mg/L,pH,pH mV,Press psi a,Depth m
T-22,8/2/2018,10:32:42,0.718,211,0,6.3,11.4,80.7,6.35,0.88,3.58,0.28,0.3,27.677,431.2,410.3,0.19,408,267,23.76,0,7.62,-68.6,15.219,10.948
T-22,8/2/2018,10:34:47,0.581,212,0,6.3,11.4,80.6,6.34,0.87,3.53,0.3,0.32,27.678,431.5,410.5,0.2,408.3,267,25.12,0,7.62,-68.5,16.731,12.015
T-22,8/2/2018,10:35:59,0.529,213,0,6.3,11.4,80.5,6.33,0.92,3.74,0.33,0.35,27.678,431.5,410.5,0.2,408.3,267,41.4,0,7.61,-68.4,18.187,13.042
T-22,8/2/2018,10:37:45,0.172,2XB,0,6.3,11.4,80.4,6.32,0.92,3.73,0.35,0.37,27.678,431.6,410.6,0.2,408.3,267,47.4,0,7.61,-68.3,18.667,13.381
T-22,8/2/2018,10:53:09,0.208,3XS,0,6.3,11.4,86.3,6.78,0.94,3.83,0.28,0.3,27.701,431.1,410,0.19,407.7,266,5.11,0,7.66,-70.9,0.365,0.468
T-22,8/2/2018,10:54:24,0.617,301,0,6.3,11.4,83.7,6.58,0.89,3.61,0.28,0.3,27.704,431.3,410.1,0.19,407.8,267,5.31,0,7.64,-69.7,1.067,0.963
T-22,8/2/2018,10:55:26,0.421,302,0,6.3,11.4,82.5,6.48,0.76,3.1,0.25,0.27,27.684,431.2,410.1,0.19,407.9,267,6.79,0,7.63,-69.4,2.527,1.993
T-22,8/2/2018,10:57:06,0.291,303,0,6.3,11.4,81.7,6.43,0.77,3.13,0.25,0.26,27.674,430.7,409.8,0.19,407.5,266,7.32,0,7.63,-69.1,3.872,2.942
T-22,8/2/2018,10:58:43,0.021,304,0,6.3,11.4,81.4,6.4,0.74,3.04,0.26,0.27,27.669,430.2,409.3,0.19,407.1,266,8.47,0,7.62,-68.9,5.241,3.908
T-22,8/2/2018,11:00:06,0.6,305,0,6.3,11.4,81,6.38,0.74,3.03,0.26,0.27,27.661,430.1,409.3,0.19,407.1,266,8.41,0,7.62,-68.4,6.732,4.96
T-22,8/2/2018,11:02:27,0.167,306,0,6.3,11.4,80.4,6.33,0.85,3.46,0.26,0.28,27.631,426.8,406.4,0.19,404.2,264,12.04,0,7.61,-67.9,8.272,6.047
T-22,8/2/2018,11:03:39,0.118,307,0,6.3,11.4,80.2,6.31,0.82,3.34,0.26,0.28,27.634,427.2,406.7,0.19,404.5,264,11.16,0,7.6,-67.7,9.715,7.065
T-22,8/2/2018,11:05:31,0.608,308,0,6.3,11.4,80.1,6.3,0.83,3.38,0.26,0.28,27.629,426.2,405.8,0.19,403.6,264,12.75,0,7.6,-67.4,10.932,7.924
T-22,8/2/2018,11:06:06,0.918,309,0,6.3,11.4,79.9,6.29,0.83,3.37,0.25,0.27,27.626,426.1,405.8,0.19,403.6,264,12.63,0,7.59,-67.2,12.359,8.93
T-22,8/2/2018,11:06:41,0.998,310,0,6.3,11.4,79.7,6.28,0.83,3.39,0.24,0.25,27.623,425.4,405.1,0.19,402.9,263,13.07,0,7.59,-67,13.884,10.006
T-22,8/2/2018,11:07:47,0.384,311,0,6.3,11.4,79.5,6.26,0.83,3.39,0.32,0.33,27.62,425.1,404.8,0.19,402.6,263,15.89,0,7.59,-66.9,15.184,10.924
T-22,8/2/2018,11:08:25,0.265,3XB,0,6.3,11.4,79.4,6.25,0.85,3.46,0.28,0.3,27.62,425,404.8,0.19,402.6,263,17.11,0,7.59,-66.9,16.396,11.779
T-22,8/2/2018,11:20:24,0.681,4XS,0,6.3,11.4,86.6,6.81,0.89,3.63,0.31,0.32,27.672,427.8,407,0.19,404.8,265,6.26,0,7.64,-69.6,0.386,0.483
T-22,8/2/2018,11:21:46,0.07,401,0,6.3,11.4,82.8,6.51,0.86,3.52,0.27,0.29,27.686,426.9,406.1,0.19,403.8,264,7.43,0,7.62,-68.9,1.145,1.018
T-22,8/2/2018,11:22:36,0.909,402,0,6.3,11.4,81.8,6.43,0.75,3.06,0.26,0.27,27.674,426.2,405.5,0.19,403.2,264,8.8,0,7.62,-68.8,2.555,2.013
T-22,8/2/2018,11:23:38,0.734,403,0,6.3,11.4,81,6.37,0.78,3.19,0.23,0.25,27.668,425.2,404.6,0.19,402.4,263,8.95,0,7.61,-68.3,3.925,2.979
T-22,8/2/2018,11:24:15,0.987,404,0,6.3,11.4,80.8,6.36,0.74,3.03,0.26,0.28,27.668,425.5,404.9,0.19,402.7,263,9.47,0,7.61,-68.2,5.325,3.967
T-22,8/2/2018,11:25:10,0.443,405,0,6.3,11.4,80.7,6.35,0.73,2.99,0.28,0.3,27.669,425.4,404.8,0.19,402.6,263,9.28,0,7.61,-68.3,6.656,4.906
T-22,8/2/2018,11:27:05,0.93,406,0,6.3,11.4,80.4,6.32,0.8,3.27,0.28,0.3,27.667,425.4,404.8,0.19,402.5,263,9.28,0,7.6,-67.7,8.099,5.924
T-22,8/2/2018,11:28:36,0.343,407,0,6.3,11.4,80.1,6.3,0.84,3.41,0.27,0.29,27.664,425.2,404.6,0.19,402.4,263,9.58,0,7.6,-67.3,9.7,7.054
T-22,8/2/2018,11:29:14,0.199,408,0,6.3,11.4,80,6.29,0.81,3.31,0.25,0.27,27.662,424.9,404.3,0.19,402.1,263,10.39,0,7.59,-67.1,11.102,8.043
T-22,8/2/2018,11:29:39,0.401,409,0,6.3,11.4,79.9,6.28,0.77,3.15,0.22,0.24,27.661,424.7,404.1,0.19,401.9,263,10.9,0,7.59,-67,12.516,9.041
T-22,8/2/2018,11:30:20,0.419,4XB,0,6.3,11.4,79.7,6.27,0.78,3.19,0.26,0.27,27.66,424.6,404.1,0.19,401.9,263,12.72,0,7.59,-66.8,13.977,10.072
T-23,7/23/2018,9:54:51,0.124,Test,0,5.8,11.5,98.8,8.52,0.45,1.88,1.33,1.34,22.741,0,0,0,0,0,1.12,0,7.48,-61.9,0.075,0.263
T-23,7/23/2018,9:56:36,0.306,1XS,0,5.8,11.5,91.6,7.15,0.71,2.91,0.19,0.18,28.13,387.4,365.6,0.17,363.2,238,7.3,0,7.76,-78.7,0.474,0.545
T-23,7/23/2018,9:57:37,0.613,101,0,5.8,11.5,91.1,7.1,0.67,2.74,0.19,0.18,28.161,386.6,364.6,0.17,362.2,237,9.43,0,7.73,-76.9,1.147,1.019
T-23,7/23/2018,9:58:19,0.197,102,0,5.8,11.5,90.4,7.05,0.61,2.51,0.15,0.14,28.153,385.4,363.5,0.17,361.1,236,9.42,0,7.72,-76.5,2.602,2.046
T-23,7/23/2018,9:58:59,0.459,103,0,5.8,11.5,90,7.02,0.6,2.49,0.13,0.13,28.137,383.5,361.8,0.17,359.5,235,9.31,0,7.71,-75.9,4.017,3.044
T-23,7/23/2018,9:59:57,0.077,104,0,5.8,11.5,89.8,7,0.6,2.46,0.15,0.15,28.137,383.6,361.9,0.17,359.6,235,8.79,0,7.71,-76.1,5.419,4.034
T-23,7/23/2018,10:00:40,0.495,105,0,5.8,11.5,89.4,6.98,0.65,2.69,0.13,0.12,28.128,382.8,361.2,0.17,358.8,235,9.89,0,7.7,-75.3,6.817,5.021
T-23,7/23/2018,10:01:14,0.987,106,0,5.8,11.5,89.3,6.97,0.64,2.63,0.15,0.14,28.126,382.5,361,0.17,358.6,235,9.83,0,7.7,-75.5,8.228,6.017
T-23,7/23/2018,10:01:54,0.577,107,0,5.8,11.5,89.1,6.96,0.67,2.75,0.14,0.14,28.127,382.6,361,0.17,358.7,235,9.55,0,7.71,-75.6,9.657,7.025
T-23,7/23/2018,10:02:35,0.703,108,0,5.8,11.5,88.9,6.94,0.66,2.7,0.14,0.13,28.125,382.5,360.9,0.17,358.6,235,9.99,0,7.7,-75.4,11.069,8.021
T-23,7/23/2018,10:03:24,0.906,109,0,5.8,11.5,88.8,6.93,0.67,2.76,0.13,0.12,28.126,382.5,360.9,0.17,358.6,235,10.24,0,7.7,-75.2,12.465,9.006
T-23,7/23/2018,10:05:06,0.877,1XB,0,5.8,11.5,88.7,6.92,0.71,2.9,0.15,0.14,28.124,382.4,360.9,0.17,358.5,235,10.83,0,7.7,-75.5,13.298,9.594
T-23,7/23/2018,10:25:01,0.928,2XS,0,5.8,11.5,92.5,7.21,0.8,3.27,0.19,0.19,28.151,385,363.2,0.17,360.8,236,7.15,0,7.75,-78.1,0.491,0.557
T-23,7/23/2018,10:26:03,0.945,201,0,5.8,11.5,91.2,7.11,0.7,2.87,0.16,0.15,28.159,383.2,361.4,0.17,359.1,235,7.41,0,7.73,-77.2,1.185,1.047
T-23,7/23/2018,10:26:53,0.865,202,0,5.8,11.5,90.1,7.03,0.63,2.58,0.17,0.17,28.149,381.8,360.2,0.17,357.8,234,8.27,0,7.72,-76.1,2.548,2.008
T-23,7/23/2018,10:27:58,0.501,203,0,5.8,11.5,89.3,6.97,0.62,2.56,0.13,0.12,28.123,380,358.6,0.17,356.3,233,8.65,0,7.7,-75.4,4.054,3.071
T-23,7/23/2018,10:28:42,0.607,204,0,5.8,11.5,89.2,6.96,0.58,2.38,0.15,0.15,28.123,380.4,359,0.17,356.6,233,8.32,0,7.7,-75.3,5.415,4.031
T-23,7/23/2018,10:29:57,0.416,205,0,5.8,11.5,88.8,6.93,0.64,2.62,0.13,0.13,28.12,379.9,358.5,0.17,356.2,233,8.72,0,7.7,-75.1,6.753,4.975
T-23,7/23/2018,10:31:12,0.785,206,0,5.8,11.5,88.6,6.92,0.63,2.61,0.12,0.12,28.116,378.6,357.3,0.17,355,232,9.7,0,7.7,-75.4,8.2,5.996
T-23,7/23/2018,10:32:15,0.628,207,0,5.8,11.5,88.5,6.91,0.63,2.58,0.14,0.13,28.116,378.9,357.6,0.17,355.3,232,9.15,0,7.69,-74.9,9.598,6.983
T-23,7/23/2018,10:34:16,0.373,208,0,5.8,11.5,88.4,6.9,0.65,2.66,0.13,0.13,28.112,378.4,357.1,0.17,354.8,232,9.88,0,7.69,-74.8,10.99,7.965
T-23,7/23/2018,10:36:10,0.555,209,0,5.8,11.5,88.2,6.89,0.66,2.7,0.14,0.14,28.108,377.8,356.6,0.17,354.3,232,9.94,0,7.69,-74.8,12.424,8.977
T-23,7/23/2018,10:38:13,0.635,210,0,5.8,11.5,88.1,6.88,0.66,2.73,0.16,0.16,28.106,377.6,356.5,0.17,354.2,232,9.84,0,7.69,-74.6,13.821,9.963
T-23,7/23/2018,10:39:41,0.805,211,0,5.8,11.5,87.9,6.86,0.63,2.61,0.13,0.13,28.108,377.8,356.6,0.17,354.4,232,9.93,0,7.68,-73.9,15.307,11.012
T-23,7/23/2018,10:41:28,0.435,2XB,0,5.8,11.5,87.8,6.85,0.66,2.72,0.11,0.11,28.106,377.4,356.3,0.17,354,232,9.89,0,7.67,-73.5,16.5,11.853
T-23,7/23/2018,10:55:04,0.132,3XS,0,5.8,11.5,91.1,7.11,0.78,3.19,0.19,0.18,28.139,378,356.6,0.17,354.3,232,8.68,0,7.71,-75.8,0.514,0.572
T-23,7/23/2018,10:56:13,0.97,301,0,5.8,11.5,90.3,7.04,0.65,2.67,0.17,0.17,28.14,377.8,356.4,0.17,354.1,232,8.78,0,7.71,-75.9,1.248,1.091
T-23,7/23/2018,10:56:55,0.307,302,0,5.8,11.5,89.4,6.98,0.63,2.59,0.15,0.15,28.119,378.3,357,0.17,354.7,232,9.95,0,7.69,-74.6,2.575,2.027
T-23,7/23/2018,10:57:36,0.776,303,0,5.8,11.5,88.9,6.94,0.6,2.45,0.15,0.14,28.11,378.3,357.1,0.17,354.8,232,9.91,0,7.69,-74.4,3.966,3.008
T-23,7/23/2018,10:58:18,0.178,304,0,5.8,11.5,89,6.95,0.63,2.61,0.15,0.14,28.118,378.7,357.4,0.17,355.1,232,9.06,0,7.69,-74.7,5.391,4.015
T-23,7/23/2018,10:59:09,0.331,305,0,5.8,11.5,88.8,6.93,0.67,2.75,0.14,0.13,28.115,377.9,356.7,0.17,354.4,232,9.5,0,7.69,-74.4,6.758,4.979
T-23,7/23/2018,10:59:51,0.826,306,0,5.8,11.5,88.6,6.92,0.66,2.72,0.14,0.14,28.113,378.1,356.9,0.17,354.6,232,9.53,0,7.68,-74.3,8.207,6.002
T-23,7/23/2018,11:00:43,0.475,307,0,5.8,11.5,88.3,6.89,0.63,2.57,0.15,0.14,28.103,377.4,356.2,0.17,354,232,10.47,0,7.68,-74,9.627,7.004
T-23,7/23/2018,11:01:45,0.688,308,0,5.8,11.5,88.2,6.89,0.63,2.58,0.13,0.13,28.102,377,355.9,0.17,353.6,231,10.2,0,7.68,-74,10.96,7.944
T-23,7/23/2018,11:02:36,0.068,309,0,5.8,11.5,88,6.87,0.65,2.68,0.14,0.14,28.1,376.9,355.8,0.17,353.5,231,11.29,0,7.68,-73.8,12.446,8.993
T-23,7/23/2018,11:03:20,0.392,310,0,5.8,11.5,87.9,6.86,0.65,2.68,0.15,0.15,28.099,376.8,355.7,0.17,353.5,231,13.05,0,7.67,-73.6,13.905,10.022
T-23,7/23/2018,11:04:25,0.777,311,0,5.8,11.5,87.8,6.85,0.64,2.63,0.15,0.15,28.098,376.8,355.7,0.17,353.5,231,14.1,0,7.67,-73.5,15.323,11.023
T-23,7/23/2018,11:06:27,0.416,3XB,0,5.8,11.5,87.6,6.84,0.67,2.75,0.17,0.17,28.097,376.7,355.6,0.17,353.4,231,12.82,0,7.67,-73.3,16.697,11.992
T-23,7/23/2018,11:22:11,0.108,4XS,0,5.8,11.5,91.4,7.13,0.76,3.1,0.2,0.19,28.121,380.1,358.7,0.17,356.4,233,8.88,0,7.72,-76.2,0.413,0.501
T-23,7/23/2018,11:23:26,0.235,401,0,5.8,11.5,91,7.1,0.76,3.1,0.19,0.18,28.155,380.1,358.5,0.17,356.1,233,8.65,0,7.72,-76.6,1.122,1.002
T-23,7/23/2018,11:24:14,0.599,402,0,5.8,11.5,91.2,7.11,0.74,3.03,0.19,0.19,28.169,380.2,358.5,0.17,356.1,233,8.97,0,7.72,-76.6,2.528,1.994
T-23,7/23/2018,11:25:04,0.579,403,0,5.8,11.5,90.2,7.04,0.69,2.83,0.17,0.17,28.147,380.1,358.5,0.17,356.2,233,9.32,0,7.7,-75.5,3.951,2.998
T-23,7/23/2018,11:25:54,0.976,404,0,5.8,11.5,90.7,7.07,0.74,3.04,0.14,0.14,28.171,381.2,359.4,0.17,357,234,8.4,0,7.72,-76.1,5.394,4.016
T-23,7/23/2018,11:26:44,0.81,405,0,5.8,11.5,89,6.94,0.61,2.51,0.14,0.14,28.123,380.6,359.2,0.17,356.9,233,9.96,0,7.69,-74.8,6.777,4.992
T-23,7/23/2018,11:27:39,0.008,406,0,5.8,11.5,88.5,6.91,0.67,2.75,0.13,0.12,28.115,380.3,359,0.17,356.6,233,10.45,0,7.69,-74.4,8.204,6
T-23,7/23/2018,11:29:06,0.195,407,0,5.8,11.5,88.3,6.89,0.7,2.88,0.15,0.15,28.111,380,358.7,0.17,356.3,233,10.78,0,7.68,-74.2,9.68,7.041
T-23,7/23/2018,11:29:52,0.177,408,0,5.8,11.5,88.2,6.88,0.66,2.71,0.15,0.15,28.111,380.3,359,0.17,356.7,233,12.9,0,7.67,-73.5,11.042,8.002
T-23,7/23/2018,11:30:31,0.099,409,0,5.8,11.5,88,6.87,0.64,2.63,0.14,0.14,28.11,379.7,358.4,0.17,356.1,233,12.42,0,7.67,-73.5,12.463,9.005
T-23,7/23/2018,11:31:37,0.488,410,0,5.8,11.5,87.9,6.86,0.67,2.73,0.15,0.14,28.11,380,358.7,0.17,356.4,233,13.25,0,7.67,-73.6,13.861,9.991
T-23,7/23/2018,11:32:40,0.684,411,0,5.8,11.5,87.8,6.85,0.67,2.74,0.15,0.15,28.109,379.9,358.6,0.17,356.3,233,15.23,0,7.67,-73.4,15.246,10.969
T-23,7/23/2018,11:33:42,0.682,412,0,5.8,11.5,87.7,6.84,0.7,2.87,0.16,0.16,28.11,379.9,358.6,0.17,356.2,233,14.62,0,7.66,-73.1,16.677,11.978
T-23,7/23/2018,11:35:04,0.922,4XB,0,5.8,11.5,87.6,6.84,0.68,2.81,0.15,0.15,28.109,379.8,358.6,0.17,356.2,233,15.94,0,7.66,-72.8,17.121,12.291
